source,target,edge_type,author_order,weight
author:md5:1b2a9760508240680aa51e4626e9d85b,paper:doi:10.1371/journal.pone.0061372,authored,1.0,
author:md5:00499923c1a2c67eab82713c1f484e29,paper:doi:10.1371/journal.pone.0061372,authored,2.0,
author:md5:24a7e3ea0fb906501a70dbb4eed2d11a,paper:doi:10.1371/journal.pone.0061372,authored,3.0,
author:md5:9e5b6e87c78033054e8800339da54316,paper:doi:10.1371/journal.pone.0061372,authored,4.0,
author:md5:ead9032355ae7f68060f4e0577646592,paper:doi:10.1371/journal.pone.0061372,authored,5.0,
author:md5:2a073ce9e48d07607c9228e007ad1a43,paper:doi:10.1371/journal.pone.0061372,authored,6.0,
author:md5:b581b5b38dd69502b1ccc37f95156b43,paper:doi:10.1371/journal.pone.0061372,authored,7.0,
author:md5:62cef34180d7c698d2f1082df3ee91d8,paper:doi:10.1371/journal.pone.0061372,authored,8.0,
author:md5:6f3121bafff0d80c9ee84e03ecc451f5,paper:doi:10.1371/journal.pone.0061372,authored,9.0,
author:md5:7bd9cc260f8d5f4b1aee040f931f2ea9,paper:doi:10.1002/jbmr.2807,authored,1.0,
author:md5:d33ac275a12588557ddbc6eb89d8675f,paper:doi:10.1002/jbmr.2807,authored,2.0,
author:md5:a8ac0393eb1ad65d35204079ed0ad528,paper:doi:10.1002/jbmr.2807,authored,3.0,
author:md5:8a5dc60bba9910393b06889af3e69f66,paper:doi:10.1002/jbmr.2807,authored,4.0,
author:md5:4f5a743066e2ae33ed5950d5514d0afb,paper:doi:10.1002/jbmr.2807,authored,5.0,
author:md5:8096116296547d500cbc62d72492f722,paper:doi:10.1002/jbmr.2807,authored,6.0,
author:md5:8625be0e4857ad5000b7660107fbda41,paper:doi:10.1002/jbmr.2807,authored,7.0,
author:md5:303b488f63dc917b418b296f37bb4d9d,paper:doi:10.1002/jbmr.1814,authored,1.0,
author:md5:b41552ec9df0a7c640b91a4fcef96a2d,paper:doi:10.1002/jbmr.1814,authored,2.0,
author:md5:ceed27aad5c070c903aa8af7d1b28835,paper:doi:10.1002/jbmr.1814,authored,3.0,
author:md5:5998ef633e9549e243a539e3cd2283f9,paper:doi:10.1002/jbmr.1814,authored,4.0,
author:md5:7af8de2cce9407c87900ae028e70f20e,paper:doi:10.1002/jbmr.1814,authored,5.0,
author:md5:d4a684e6d9e94e981fe7fbd5cfffb90d,paper:doi:10.1002/jbmr.1814,authored,6.0,
author:md5:b0b5745d6c1c11e3a26b80fc2ab71153,paper:doi:10.1126/sciadv.abn0485,authored,1.0,
author:md5:3bdd4bd52df0eb572af00b383865b84a,paper:doi:10.1126/sciadv.abn0485,authored,2.0,
author:md5:3d91e448deb2b079430251c2cc0c64dd,paper:doi:10.1126/sciadv.abn0485,authored,3.0,
author:md5:1213b50ec05d3480da682288db221ef5,paper:doi:10.1126/sciadv.abn0485,authored,4.0,
author:md5:b90690d1afe422aa5e247ece68d8bb9b,paper:doi:10.1126/sciadv.abn0485,authored,5.0,
author:md5:ce6c9c397f62d0a7173876bda1fc0de3,paper:doi:10.1126/sciadv.abn0485,authored,6.0,
author:md5:25b1d0766da15b0fc6433a5aac0ee314,paper:doi:10.1126/sciadv.abn0485,authored,7.0,
author:md5:3f539b823fc0ac01194204490ca11f25,paper:doi:10.1126/sciadv.abn0485,authored,8.0,
author:md5:8445755880b1a18ae5c27f1619b61556,paper:doi:10.1126/sciadv.abn0485,authored,9.0,
author:md5:7bb84481a815f4c94875a3a579b06cfe,paper:doi:10.1126/sciadv.abn0485,authored,10.0,
author:md5:89e1641a4b81053781f70091f1848f22,paper:doi:10.1371/journal.pone.0104830,authored,1.0,
author:md5:301255072902de817c2d61f706f5e9a4,paper:doi:10.1371/journal.pone.0104830,authored,2.0,
author:md5:76e14bd7e754580729c3dd4d355381dd,paper:doi:10.1371/journal.pone.0104830,authored,3.0,
author:md5:84aec21f71a0fdbe8f415643db9c6253,paper:doi:10.1371/journal.pone.0104830,authored,4.0,
author:md5:d44c04145d6acdee65a3928472f2b118,paper:doi:10.1371/journal.pone.0104830,authored,5.0,
author:md5:061675b449bf9ee27946e350d87308ca,paper:doi:10.1371/journal.pone.0104830,authored,6.0,
author:md5:c74006f76464f540d78cf58526653bec,paper:doi:10.1371/journal.pone.0104830,authored,7.0,
author:md5:75551ff19ddfd6ab2af10b4936e5f156,paper:doi:10.1371/journal.pone.0104830,authored,8.0,
author:md5:790c6a05ad9e010b943847ab0b475369,paper:doi:10.1371/journal.pone.0104830,authored,9.0,
author:md5:21d90b2d42f8401a6625fd147b6a729a,paper:doi:10.1371/journal.pone.0104830,authored,10.0,
author:md5:d7472068c596a8031d7a7160af1d794d,paper:doi:10.1371/journal.pone.0104830,authored,11.0,
author:md5:7b8bbc544683f0d94c75f607db52b64a,paper:doi:10.1371/journal.pone.0104830,authored,12.0,
author:md5:81485099821664aecfaad6ff28ee577f,paper:doi:10.1371/journal.pone.0104830,authored,13.0,
author:md5:ddf0f1b755d12c5588a0d75fecea1cc4,paper:doi:10.1371/journal.pone.0250715,authored,1.0,
author:md5:16bb642329d7817212ec031041a41512,paper:doi:10.1371/journal.pone.0250715,authored,2.0,
author:md5:dec04134de64b6033a8fc1f12b05508b,paper:doi:10.1371/journal.pone.0250715,authored,3.0,
author:md5:d8447d7c5c7b44fb0352a570a3d55f41,paper:doi:10.1371/journal.pone.0250715,authored,4.0,
author:md5:d4a684e6d9e94e981fe7fbd5cfffb90d,paper:doi:10.1371/journal.pone.0250715,authored,5.0,
author:md5:3299b6f753ea5106d7185ab0c7c53e22,paper:local:eim-spaceflight-hlu,authored,1.0,
author:md5:a59f033e3b99ec217ede1a2710d2df9e,paper:local:eim-spaceflight-hlu,authored,2.0,
author:md5:a14aaa9c13734170a872f01b4bce27ab,paper:local:eim-spaceflight-hlu,authored,3.0,
author:md5:b41552ec9df0a7c640b91a4fcef96a2d,paper:local:eim-spaceflight-hlu,authored,4.0,
